smiles,BDE,Density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,Td
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn(N)c2c1=O,274.2075461,1.866027239,8209.692179,30.6777806,5229.030592,3627.669162,664.3365846,119.2579481,232.7475456
N=c1n([N+](=O)[O-])cc([N+](=O)[O-])n1N,274.1486613,1.817383073,8023.745643,29.35050355,5248.84973,3802.624986,693.0106866,129.9741504,177.8595398
Nc1nnc2nnc([N+](=O)[O-])n2n1,274.0961277,1.791193169,8240.902207,30.6208161,5503.486742,3640.31489,693.055115,562.7513298,211.0742808
Nc1nc2c([N+](=O)[O-])n[nH]c(=O)n2c1[N+](=O)[O-],273.7862566,1.918969766,8001.872254,29.29253465,4461.176161,2930.614284,643.9556984,39.4852368,242.5013268
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],273.6533232,1.924137675,8774.403027,35.50098613,6014.574623,3705.537165,627.2109969,369.5606503,222.182279
Nc1nn([N+](=O)[O-])c2nnc3[nH]nc([N+](=O)[O-])n1-n32,273.5824221,1.924727582,8400.235201,33.31876415,5493.012903,3591.88319,670.4250604,605.9536345,242.7881042
O=[N+]([O-])c1nn[nH]c1[N+](=O)[O-],273.3492492,1.908909866,9011.568319,37.22258607,6368.55064,4339.362789,663.3221735,219.9026135,180.7495757
Nn1c(=O)c([N+](=O)[O-])nn2nnnc12,273.0386367,1.876685722,8276.147684,30.87825709,5511.526824,3683.326238,689.2820103,357.8422582,185.308367
O=[N+]([O-])c1c[n+](=O)[n-]o1,272.7605728,1.770423413,8625.715146,32.30630016,6991.047582,4584.229589,624.6306016,171.5279384,154.1111816
O=[N+]([O-])c1nn[nH]n1,272.7173141,1.847254135,8775.120157,35.2711074,5920.698581,4326.867929,708.9932509,313.8700876,123.4776085
Nn1c2nc([N+](=O)[O-])nc-2c([N+](=O)[O-])nc1[N+](=O)[O-],272.6186608,1.914273724,8423.350383,34.27840234,5768.288865,3815.932071,629.2625978,347.8085431,209.1027008
Nc1c2nnn(N[N+](=O)[O-])nc-2c(N)c1[N+](=O)[O-],272.5589206,1.85317265,7999.822703,29.44106355,5294.831304,3376.271712,692.404443,431.5288518,203.8066082
N=c1[nH]nc([N+](=O)[O-])o1,272.5561636,1.849228009,8182.335137,31.05144075,4709.262401,3117.601073,679.6681212,-39.36341251,171.1689084
NN1NC(=C[N+](=O)[O-])N=C1[N+](=O)[O-],272.4135936,1.793778136,8181.74652,29.95616038,5586.853181,3688.67131,711.5138288,175.4275753,224.5035412
NN=c1n(N)c([N+](=O)[O-])c(N)n1N[N+](=O)[O-],272.3625792,1.824954461,8121.554844,30.76240796,5028.701038,3776.159751,772.4081221,268.1644185,169.4862133
NN1N=C([N+](=O)[O-])NN=C1[N+](=O)[O-],272.199973,1.875473227,8752.854862,34.93076648,5703.249275,3898.31461,736.12801,278.1475228,220.2524071
Nc1nnc2nnc([N+](=O)[O-])nn12,272.1595201,1.792511628,8112.102421,29.71317155,5329.497219,3533.432466,702.099006,543.1214017,219.4950308
Nc1nc2onc([N+](=O)[O-])n2c1[N+](=O)[O-],271.941435,1.903838738,8605.11083,33.02415343,5943.774345,3751.394042,632.1989718,228.4868791,194.477491
NN=c1[nH]c(=O)c([N+](=O)[O-])c([N+](=O)[O-])n1N,271.8814429,1.897680963,8078.270291,30.97847231,4669.310811,3327.32586,699.3536206,-26.75313471,224.5470813
O=[N+]([O-])c1cc2[nH]nc([N+](=O)[O-])n2n1,271.7658333,1.88691319,8103.010686,30.29620799,5428.345774,3440.823576,627.1478879,227.9567649,264.127158
O=[N+]([O-])c1nc2[nH]c([N+](=O)[O-])nc([N+](=O)[O-])c-2n1,271.5819433,1.964031182,8563.473313,34.75345607,5563.946912,3567.845471,601.6774028,253.6818423,230.3738169
Nc1c([N+](=O)[O-])nc(N)n2c([N+](=O)[O-])nnc12,271.5398794,1.833189653,8019.530152,30.0974794,4945.357218,3317.958123,670.4361859,274.847282,263.8201651
O=[N+]([O-])c1n[nH]nc1[N+](=O)[O-],270.6494178,1.924083229,9035.219682,39.02165124,6174.950448,4290.586219,668.1355458,220.1543511,207.1357061
Nc1c([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n(N)c1=O,270.5982425,1.890720486,8045.21288,30.20197826,4738.469173,3077.349802,664.0027768,93.01372939,230.900627
Nc1nn(N)c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,270.5190424,1.83839762,8239.27275,31.91742389,5533.489943,3691.835158,695.021503,292.0613935,277.000913
N=c1[nH]c([N+](=O)[O-])nc([N+](=O)[O-])c1N,270.3939844,1.876169893,8041.722097,29.15753024,4312.317967,3078.779434,673.1105099,10.83151514,210.9844095
O=[N+]([O-])c1nc2noc([N+](=O)[O-])c2[nH]1,269.9979816,1.869334071,8237.563276,32.08998342,5737.587511,3488.539087,579.9903555,161.9055928,203.2173461
Nc1nn(N)c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,269.952899,1.868302412,8396.098213,32.98564505,5641.731634,3752.135054,688.0499609,639.0099281,233.4626938
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])c([N+](=O)[O-])c12,269.5546399,1.90960693,9011.850807,38.19076595,6495.47376,4343.809675,649.5975593,351.0892351,212.8548272
Nc1nc([N+](=O)[O-])c2[nH]nc([N+](=O)[O-])c2n1,269.4991949,1.910664293,8013.183881,29.97057161,4855.907455,3082.601383,644.3678498,212.1982477,270.2523755
NC(=C1N=C([N+](=O)[O-])N(N)N1)[N+](=O)[O-],269.180347,1.846464628,8277.358259,30.8595861,5190.708538,3578.976011,737.7126914,150.906726,244.0816395
NC1=NN(N)C([N+](=O)[O-])=NN1N,268.9967802,1.768986282,8022.856655,28.33877793,4429.772831,3381.997158,864.0544625,271.1896927,258.4678136
Nn1nnc([N+](=O)[O-])n1,268.5178869,1.806732652,8765.168835,34.30672003,6157.36149,4496.502282,748.8271912,397.4650001,133.6449728
Nn1c2nc3nonc3nc2[n-][n+]1=O,268.4304151,1.798153104,8142.118242,28.21093736,5449.524693,3608.444867,646.4778812,549.7909625,204.9395701
O=[N+]([O-])c1c[n-][n+](=O)cn1,268.3457168,1.736694134,8015.916008,27.57362733,5954.856165,3936.517213,650.7151525,129.3907917,195.5408037
