ID,DetoQ(J/g),SMILES
DAWNAQ,3715,[O-][N+](=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAWNEU,3714,[O-][N+](=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
DAXMUL,2231,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)[N+](=O)[O-]
DAYPUP,3205,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-]
DEGLEH,1255,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1
DEJWEU,3165,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
DEJWIY,3821,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DEKYUO,3946,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O
DEKZAV,3725,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DEKZEZ,3776,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O
DEKZID,3598,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DELPEQ,2645,CC(=NNc1ccccc1[N+](=O)[O-])C
DELXEX,3547,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-]
DELXOH,3325,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34
DELZAV,3372,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-]
DELZEZ,4099,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNIS,4336,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNOY,4322,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNUE,3154,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C
DEMPAM,3133,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-]
DEMPIU,3255,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-]
DEMSOD,4183,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DENCAA,2780,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-]
DEPVUP,4360,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-]
DEQPUN,2117,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-]
DEWBOW,1886,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-]
DEXJAU,2750,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-]
DEXVAE,1928,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1
DEXVUY,2152,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-]
DEYRUV,1475,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-]
DEZTAD,2178,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1
DIBRUE,5828,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-]
DIDHIJ,1850,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-]
DIDWIY,2642,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O
DIFPUF,3959,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2
DIHNOY,2716,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1
DIJPAO,1391,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
DILFUZ,6745,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
DIMNAN03,2465,CN(c1ccc(cc1)[N+](=O)[O-])C
DIPHUI,1901,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-]
DIQRON,5753,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-]
DIWFEU,2091,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-]
DIWSUY,1541,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC
DIWWEL02,2200,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C
DIXDUJ,2570,CC(=O)Nc1ccccc1[N+](=O)[O-]
DMNPPO,1826,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-]
DMNPYO,3988,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-]
DNBENZ10,4872,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]
DNBZIL,3609,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
DNCOOC,5466,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-]
DNEDAM,5769,[O-][N+](=O)NCCN[N+](=O)[O-]
DNEIBA,4371,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
DNITPY,5243,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-]
DNOPHL03,4633,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O
DNPHOL,4657,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
DNPIMZ,4749,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C
DNPMTA,4685,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-]
DNTDPH,3736,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
DNTNAP10,4181,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-]
DOHFEL,1871,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1
DOJHAM,3954,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C
DOKSIG,2438,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C
DOKVUV,1842,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1
DOKYEH,1970,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1
DOKYIL,1909,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1
DOKZIN,2115,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-]
DOLTAZ,3119,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2
DOPLOL05,3758,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N
DORKOL,3155,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DOWGUR,1632,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-]
DOYLAG,2229,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
DOZPAL,2794,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-]
DUCVUT,2546,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-]
DUCXEF,2283,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C
DUDHOB,2403,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C
DUDNOH,3059,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-]
DUDZIL,2199,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-]
DUJMAW,1831,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-]
DUJQOP,2572,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O
DUJSIL,2446,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
DUKLAX,5526,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DUMPAC,4384,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C
DUMPEG,5689,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1
DUMSAG,3811,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
DUPHIF,2469,CN(C(=C[N+](=O)[O-])N(C)C)C
DUPHOL,3798,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C
DUPJUV,3292,[O-][N+](=O)Cc1nnc(o1)c1ccccc1
DUSNUB,2646,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1
DUTQAL,2996,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-]
DUTQOZ,3132,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1
DUXCEF,1781,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1
DUXSIY,4225,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N
EBURUR,1535,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C
ECIBIB01,3221,CN(c1ccccc1)[N+](=O)[O-]
ECUXOQ,6044,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-]
EDASOR,3188,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-]
EDAWIP,4503,[O-][N+](=O)/C=C\N
EDOREW,5651,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-]
EFATOW,2961,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-]
EGUQIG,2120,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQOM,2109,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQUS,2172,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGURIH,3131,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
EGUZIQ,2511,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
EHECAV,1999,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
EIMTNB,5618,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-]
EJEJOS,2270,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1
EJEPUE,4023,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
EJEYID,1524,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1
EKAHOP,2689,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2
EKAJAD,2552,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1
EKELAH,5634,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-]
ELEJUB,1811,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
ELIGEN01,6126,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-]
ELIGOX,4929,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-]
ELIGUD,5664,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-]
ELOXOS,3501,[O-][N+](=O)c1ccc(=O)[nH]c1
EMAWUL,2657,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O
EMAZUO,4602,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-]
EMEDOQ,2135,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2
EMEDUW,2436,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2
EMOLEZ,2122,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O
EMOYIO,1725,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-]
ENIZEG,2031,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C
ENPROP,4168,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
EPATAR,2280,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O
EQASOG,2156,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1
EQAWEA,2441,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
EQEBIN,1508,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-]
ERAWEB,2211,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2
ERETAW,5132,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-]
ERIWIL,2660,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-]
ERUDAX,2584,COC(=O)Nc1ccc(cc1)[N+](=O)[O-]
ERUSUH,1695,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-]
ESAMUI,2078,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-]
ESANIX,1751,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-]
ESIRIJ,3997,[O-][N+](=O)c1cccc2c1CN2
ESIRUV,2209,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1
ESOLAB,3811,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-]
ETOGOJ,2599,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
ETUTIY,3407,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-]
EVALOD,2208,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1
EVINOM,2078,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2
EVIXEM,3284,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-]
EVOPIO,2481,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-]
EVULOW,3052,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C
EVULUC,3460,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC
EVUMIR,4457,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-]
EWEVIM02,2539,OC(=O)c1ccc(cc1N)[N+](=O)[O-]
EWUKAI,2672,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-]
EWUKIQ01,5130,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-]
EXOQEO,2610,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-]
EYEFOE,3327,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-]
EYIFEZ,3331,[O-][N+](=O)c1ccc(c2c1non2)NCCCC
EYOGAC,2038,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
EYOVIX,5758,COc1c2nonc2c2c(c1[N+](=O)[O-])non2
EYUFEJ,4014,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-]
EZAYAF,2554,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-]
EZEGAS,2450,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZEGEW,2422,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZESOS,2457,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C
EZESUY,3056,[O-][N+](=O)c1ccccc1c1cc[nH]n1
EZETAF,2339,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-]
EZICUM,1546,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
FABHUL,6436,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-]
FABJAW,1889,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1
FABRAD,2038,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C
FABROP10,3901,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-]
FACQAE,6083,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1
FACYAK,2230,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1
FADGOG,3025,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
FADGUM,3100,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C
FADKIF,1591,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FADTOW,1981,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C
FAJYIY,1761,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C
FAKVOC,1939,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C
FAKVUI,2435,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1
FAKWET,3752,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-]
FASGAH,3007,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1
FAWWIJ,3863,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C
FECJEE,1501,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1
FEFHUW,3032,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1
FEFXUM,6127,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-]
FEGFIG,2003,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C
FEMSOH,2112,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N
FENDEH,2121,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-]
FENQEV,3798,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
FEPFIP,1531,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-]
FEPJIT,3310,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-]
FESNEW16,4609,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
FESNIA01,4800,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
FETRAY,2119,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C
FEXBUF,4504,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-]
FEYLUQ01,6391,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-]
FIBLIL,2839,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1
FICDOK,3676,COc1n(C)cnc1[N+](=O)[O-]
FIDCIF,2677,[O-][N+](=O)c1cccnc1OCc1ccccc1
FIDHIL,2718,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N
FIDKIM,1277,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C
FIJHAH,4782,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
FIKXAY,3601,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-]
FINNIA,2659,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-]
FINVEG,2744,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1
FIPZIN,6243,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N
FIWGEY,1693,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FIWLEF,3145,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIWLIJ,2630,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIYKEG,1683,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C
FIZFOL,3263,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O
FOBZUS,2256,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2
FOCCEI,1756,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-]
FOCXUR01,1928,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2
FOHMUK,6135,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-]
FOKTOO,1266,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOKTUU,1265,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOMQEE,3376,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C
FOVVAN,2907,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1
FOVXAP,1988,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C
FOVYOE11,2538,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-]
FOXCAY,2775,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N
FUGVEJ,4536,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
FUHSEG,3710,N#C/C(=C\c1ccccc1)/[N+](=O)[O-]
FUJSOS,3876,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-]
FUJXEO,5968,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N
FULKUS,3504,[O-][N+](=O)c1cccc2c1[nH]nc2
FULYEQ10,3405,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C
FUQFAY,3054,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O
FUSZEY,2182,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1
FUWNIU,3202,[O-][N+](=O)OCCNC(=O)c1cccnc1
FUXNAN,2656,CNc1ccc(cc1)[N+](=O)[O-]
FUXZIH,1787,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-]
GADFID,2526,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C
GAFNUW,3139,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21
GAHKAB02,1878,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-]
GAKQOZ,2727,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-]
GAKWUM,4796,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-]
GAKXAT,3727,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1
GALYIE,3280,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-]
GANTAT01,5330,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-]
GAQMIV,3625,[O-][N+](=O)c1cccc2c1[nH]ncc2=O
GAQMOB,3201,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-]
GARBUY,2490,[O-][N+](=O)c1ccc(c(c1)C(=O)O)N
GATPEW,2459,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
GATYIK,2763,[O-][N+](=O)c1ccc2c(c1)ccc(=O)[nH]2
GAVGIU,2456,Oc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAWBOW,2231,CCOc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1O
GAWGUH,2031,Cc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAXGOE,2254,COC(=O)c1cnc(nc1C)c1ccc(cc1)[N+](=O)[O-]
GAZBEQ,2358,COC(=O)c1cc(ncc1C(=O)OC)c1ccccc1[N+](=O)[O-]
GECCUM,1815,O[C@@]1(C=CC2=NCC[C@@]2(C1)C)c1ccc(cc1)[N+](=O)[O-]
GECPEL,1856,CCCCn1cnnc1Nc1cccc(c1)[N+](=O)[O-]
GECPIP,1803,Cc1cc(ccc1C)n1cnnc1Nc1cccc(c1)[N+](=O)[O-]
GEDWIV,3695,N#CC1=C(C#N)[C@@](C)([N+](=O)[O-])C(C(=O)[C@]1(C)[N+](=O)[O-])(C)C
GEDYEU,5506,[O-][N+](=O)N1CCn2c1nnn2
GEJKUB,2011,[O-][N+](=O)c1ccc(cc1)CNc1ccccc1
GEJLAI,1710,[O-][N+](=O)c1ccc(cc1)CCNc1ccccc1
GEJLEM,1305,Cc1ccc(cc1)N(CCc1ccc(cc1)[N+](=O)[O-])C
GEKKOY,3629,O=[N+]1c2ccc(cc2[N-]OC21CCCCC2)[N+](=O)[O-]
GEKKUE,2850,O=[N+]1c2cc(ccc2[N-]C21CCCCC2)[N+](=O)[O-]
GELHUD,2029,[O-][N+](=O)OCCNC(=O)c1ccccc1NC(=O)c1ccccc1
GEMZAZ,4203,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])NC(=O)N2[N+](=O)[O-]
