ID,DetoT(K),SMILES
CACFOD01,2545,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-]
CACNIG,1197,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O
CAFQUW,2372,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CAJTEM,1385,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1
CANKIL,1662,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC
CANXIA,2826,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO
CASBOQ01,3230,[O-][N+](=O)c1c[nH]nc1n1cnnn1
CATJIQ01,4399,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CATLUE,1642,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CAVDAF,1500,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C
CAVROG,1983,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N
CAWWED,1166,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1
CAXNIY,2252,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-]
CAYMAR,1164,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2
CECCEU,1296,[O-][N+](=O)c1cccc2c1c1ccccc1NC2
CEDMUV,2239,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1
CEDQAF,1405,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-]
CEDZUG,3585,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-]
CEGVOB,1323,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC
CEKVOD,1683,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1
CEQXEB,3007,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
CICMAD01,1542,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-]
CIDQIP,1184,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C
CIFROY,3293,[O-][N+](=O)c1n[nH]cn1
CIGSUJ,3396,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-]
CIJBAA,1351,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1
CIJDAC,1377,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N
CIJYIE,2312,N#Cc1[nH]c(nc1[N+](=O)[O-])C
CILBII,3920,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
CINVIE,2841,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-]
CIQCAJ,1415,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O
CIQRIE,1742,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-]
CIVVEI10,1695,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CIWMAW01,2914,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-]
CIWMEA10,4685,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
CMDNFL,1502,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N
CMNFLU10,2139,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N
CNOXPA,1861,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C
COCNBZ01,1912,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1CCCCCC=C1
CODYAX,1325,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O
COGFUB,4017,[O-][N+](=O)c1n(/N=N/n2cnc(c2[N+](=O)[O-])[N+](=O)[O-])cnc1[N+](=O)[O-]
COGGAI,3987,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-]
COMGUG,1007,O=C1c2ccccc2C(=O)N1c1ccccc1[N+](=O)[O-]
COQVAF,1922,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-]
COWBEV,4431,N#[N+][N-]CN1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
COWNUX,1142,CN1[C@@H]2CCCC[C@@H]2CO[C@H]1c1ccc(cc1)[N+](=O)[O-]
COXXIW,1688,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N
COYLAF03,4424,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CTMTNA,4760,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
CUBHEO,1126,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-]
CUBKAN,1092,COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-]
CUDYEH,1341,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUDYIL,1412,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUHZEM,1450,O=C1N(/N=C/c2ccc(cc2)[N+](=O)[O-])CNc2c1cccc2
CUKCAM10,2065,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
CUKRUW,1778,[O-][N+](=O)c1ccc(cc1)c1ncc2n1nc(o2)C1CCC1
CUKSIK,1159,[O-][N+](=O)c1cnn(c1)[C@]12C[C@@H]3C[C@H](C1)C[C@](C2)(C3)O
CUMQEI,1642,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1
CUNCOE,1439,N#CC1(C#N)[C@@H]([C@H]1c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
CUNGAT,3445,CN/C=C/[N+](=O)[O-]
CUNTOU,1919,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
CUNVAI,2348,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
CUNWEN,1872,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CUPPIO,1207,NC(=O)[C@H](c1ccccc1)/N=C/c1ccc(cc1)[N+](=O)[O-]
CUPQEL,1210,NC(=O)[C@H](c1ccccc1)/N=C/c1cccc(c1)[N+](=O)[O-]
CUPSAJ,1258,NC(=O)[C@H](c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
CURNIO,1437,N#C/C(=C\c1cccc(c1)[N+](=O)[O-])/C(=O)NCc1ccco1
CUTWIX,2647,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWOD,2652,[O-][N+](=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWUJ,2666,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTXAQ,2088,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C
CUTXUL,1109,CC[C@@H]([C@H](N1C(=O)c2c(C1=O)cccc2)C[N+](=O)[O-])C=O
CUVXOG,4164,[O-][N+](=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CUZDEG,2669,Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
CUZMOZ,2885,[O-][N+](=O)c1ccn(n1)C
CUZMUF,2910,Cn1ncc(c1)[N+](=O)[O-]
DABRIK,1177,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
DABTEI,1334,O=Cc1c(nc2n1cc(cc2)[N+](=O)[O-])c1ccc(cc1)OC
DACYEL,2638,[O-][N+](=O)c1c(C(=O)O)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DACZIT,1209,[O-][N+](=O)C[C@@H](c1ccccc1)CC(=O)c1ccccn1
DADQIJ,2127,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
DAFBOB,2480,[O-][N+](=O)/C=C/1\CCCN1C
DAFGAS,3165,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-]
DAGREJ,1112,[O-][N+](=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O
DAHLAZ,1621,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1
DAJXUH,2119,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-]
DAPJOU,2883,[O-][N+](=O)c1cc(cc(c1OCC1CC1)[N+](=O)[O-])[N+](=O)[O-]
DARQUJ,1202,O=C1C[C@@H](N1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
DARRAQ,1663,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
DARWAX,1776,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-]
DARWEB,1374,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-]
DATGEL,1654,[O-][N+](=O)c1ccc(c(c1N)C)C
DATNBZ01,3079,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DAVKET,1236,N#CC(=c1cc(C)n(c(c1)C)CC)c1ccc(cc1)[N+](=O)[O-]
DAVQOH,1505,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-]
DAVXAZ,3124,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXED,3125,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXIH,2730,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXON,2685,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
