smiles,BDE_pred,D_pred
O=[N+]([O-])c1nc2nnn([N+](=O)[O-])c2c([N+](=O)[O-])c1[N+](=O)[O-],177,8755
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2n(N[N+](=O)[O-])c([N+](=O)[O-])nn12,154,8754
Nc1nnc2nc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,228,8753
O=[N+]([O-])Nc1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])c([N+](=O)[O-])nc23)n1[N+](=O)[O-],134,8752
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c(nc([N+](=O)[O-])n2[N+](=O)[O-])c1=NN[N+](=O)[O-],128,8752
O=[N+]([O-])c1c2[n-]o[n-]c-2c[n+](=O)[n+]1=O,230,8751
Nn1c([N+](=O)[O-])nc2c(=NN[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc21,168,8751
Nn1c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n(N[N+](=O)[O-])c1=O,144,8749
O=[N+]([O-])c1nc2c(nnn2[N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],195,8748
NN1C(N[N+](=O)[O-])=C([N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C1N[N+](=O)[O-],121,8747
NN=c1c2nc([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],171,8746
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c(=O)c21,207,8740
O=[N+]([O-])N=Cc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,167,8740
O=c1[nH]c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n1N[N+](=O)[O-],137,8740
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c2n1,173,8739
Nn1c([N+](=O)[O-])nc2c1c(=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],129,8735
Nn1c([N+](=O)[O-])nc2c1c(=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],129,8735
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nnnc21,249,8734
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1[N+](=O)[O-],189,8734
Nc1nnc2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])nn12,240,8733
Nn1c(=O)n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c21,143,8732
O=[N+]([O-])Nn1c([N+](=O)[O-])nc2noc([N+](=O)[O-])c21,159,8730
O=[N+]([O-])NN1C([N+](=O)[O-])=C([N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C1[N+](=O)[O-],129,8730
NN=c1c2nc([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],147,8729
Nc1nc([N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,237,8728
NN=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],135,8728
O=[N+]([O-])NC1=C([N+](=O)[O-])N(N[N+](=O)[O-])C([N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,133,8728
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nnc2c1N[N+](=O)[O-],126,8728
O=[N+]([O-])N=Cc1nn2c([N+](=O)[O-])nn([N+](=O)[O-])c2c1[N+](=O)[O-],177,8726
O=c1n([N+](=O)[O-])c(=O)n2c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc([N+](=O)[O-])n12,151,8726
Nc1nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],123,8726
O=[N+]([O-])c1nc2nonc2nc1[N+](=O)[O-],249,8725
Nc1c([N+](=O)[O-])nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc12,189,8725
